Area,Predicted Price
5300,5460531.697
3800,4024507.905
9800,7698518.033
8520,5281204.387
6050,4344993.263
7085,4737292.256
3180,5000792.326
4500,5157305.422
7200,5313219.573
3410,3876685.096
7980,5076526.651
3000,4932566.414
3000,3721281.63
11410,6720419.562
6100,4363944.905
5720,4563722.682
3540,3205092.544
7600,5653360.992
10700,6639834.525
6600,4553461.327
4800,3682673.927
8150,6352247.019
4410,6866815.79
7686,4965090.995
2800,4856759.845
5948,4838670.453
4200,4176121.042
4520,4297411.552
4095,4136322.594
4120,3424931.593
5400,4819488.737
4770,3859831.223
6300,4439751.474
5800,4061706.77
3000,3721281.63
2970,4242249.184
6720,4598945.268
4646,4345169.69
12900,6941368.242
3420,5280288.49
4995,5344926.68
4350,3512109.147
4160,4693298.268
6040,4341202.935
6862,5185106.472
4815,3688359.419
8100,6907554.493
3420,5280288.49
9166,5337531.322
6321,4980049.703
10240,5744612.596
6440,4304287.79
5170,5608459.98
6000,4137513.339
3630,3960072.321
9667,7648106.664
5400,4442432.172
4320,3689266.444
3745,4003661.098
4160,3628621.189
3880,5266115.316
5680,4737089.651
2870,3483479.078
5010,4483137.645
4510,5693434.29
4000,4100314.473
3840,4039669.218
3760,3477008.051
3640,3963862.65
2550,3550716.85
5320,4600637.827
5360,4615799.141
3520,3386040.169
8400,7021264.346
4100,4628635.72
4990,5875370.055
3510,4446926.92
3450,3891846.409
9860,5789108.397
3520,3729850.426
4510,4482149.506
5885,4093924.562
4000,4100314.473
8250,5178865.519
4040,4115475.787
6360,4273965.163
3162,3782684.951
3510,3914588.38
3750,3284689.441
3968,4088185.422
4900,4252915.751
2880,3675797.689
4880,3901524.836
4920,4449024.69
4950,4648923.957
3900,4062411.189
4500,6033454.219
1905,3683297.23
4075,3596403.397
3500,4099326.334
6450,5217473.222
4032,3391576.703
4400,3531060.789
10360,5790096.537
3400,3872894.767
6360,4273965.163
6360,4806303.702
4500,3568964.074
2175,3408579.534
4360,4425294.579
7770,4808401.472
6650,5104751.509
2787,3108209.095
5500,4668863.739
5040,4494508.631
5850,4080658.412
2610,6184556.671
2953,3703467.086
2747,5025199.387
4410,3534851.118
4000,5500127.54
2325,3465434.46
4600,5539018.964
3640,5175147.434
5800,4250235.052
7000,4705074.465
4079,4662596.608
3520,3918378.709
2145,3929547.088
4500,3757492.356
8250,5178865.519
3450,3891846.409
4840,4418702.062
4080,4130637.101
4046,4117749.984
4632,4528391.513
5985,4320356.128
6060,4160255.31
3600,3416362.796
3680,5190308.748
4040,3926947.505
5600,3985900.202
5900,6220289.943
4992,5687599.838
4340,3696847.101
3000,4442148.452
4320,4221604.983
3630,5171357.105
3460,4574582.983
5400,4098621.915
4500,4289830.895
3460,4084165.02
4100,3794407.5
6480,5040315.926
4500,5501115.679
3960,4085153.16
4050,3930737.834
7260,6014907.788
5500,4857392.021
3000,3721281.63
3290,3110334.333
3816,3309705.609
8080,5114429.936
2145,4264683.075
3780,3828398.966
3180,5189320.608
5300,6181398.518
3180,4279925.504
7152,5295025.996
4080,3409770.279
3850,3322592.725
2015,3347934.279
2176,3220430.285
3350,3853943.125
3350,3853943.125
3150,4268554.519
4820,4411121.405
3420,3691947.142
3600,3227834.514
5830,4073077.756
2856,4199039.44
8400,5047192.164
8250,5178865.519
2520,4595348.674
6930,5399408.987
3480,3182350.573
3600,3416362.796
4040,3394608.966
6020,4333622.278
4050,3398399.294
3584,3221769.989
3120,3766765.571
5450,3929045.275
3630,3239205.5
3630,3239205.5
5640,4001061.515
3600,3227834.514
4280,3485576.848
3570,3937330.351
3180,3789507.542
3000,3532753.348
3520,4408796.671
5960,4843218.847
4130,5360873.527
2850,4875711.487
2275,3978821.358
3520,3386040.169
4500,3568964.074
4000,3379447.652
3150,3778136.556
4500,5689643.962
4500,3568964.074
3640,3242995.828
3850,3511121.007
4240,4191282.356
3650,3967652.978
4600,4516262.462
2135,4604703.004
3036,3734926.812
3990,4096524.145
7424,4865784.39
3480,3370878.855
3600,4514286.182
3640,3242995.828
5900,4099610.055
3120,3766765.571
7350,4649207.678
3512,3194479.624
9500,6184995.113
5880,4092029.398
12944,6958045.687
4900,4441444.033
3060,3211685.061
5320,3879771.005
2145,3929547.088
4000,3379447.652
3185,3070535.884
3850,3511121.007
2145,3929547.088
2610,3573458.821
1950,4534581.928
4040,3394608.966
4785,4397855.256
3450,3359507.87
3640,3242995.828
3500,4099326.334
4960,5185052.825
4120,3957270.133
4750,3663722.284
3720,3273318.456
3750,3473217.723
3100,3759184.914
3185,3070535.884
2700,3075233.237
2145,3397208.549
4040,3394608.966
4775,4582593.209
2500,2810898.386
3180,3978035.824
6060,4348783.592
3480,4091745.677
3792,4210003.924
4040,3394608.966
2145,3397208.549
5880,4280557.68
4500,3568964.074
3930,3352915.353
3640,4152390.932
4370,4240556.626
2684,2880640.43
4320,3689266.444
3120,3766765.571
3450,2982451.306
3986,4585425.976
3500,3189931.23
4095,3415455.772
1650,3209587.291
3450,3891846.409
6750,4421787.972
9000,5995478.691
3069,3026568.074
4500,4289830.895
5495,4134630.035
2398,2960765.318
3000,3188943.09
3850,4043459.547
3500,3189931.23
8100,4933482.31
4960,3743319.182
2160,3402894.041
3090,3034527.764
4500,4101302.613
3800,3303641.083
3090,3755394.586
3240,3812249.512
2835,2937874.389
4600,3606867.358
5076,3975815.274
3750,4005556.263
3630,4148600.603
8050,4914530.668
4352,4422262.317
3000,3532753.348
5850,4801525.234
4960,3743319.182
3600,3948701.336
3660,4159971.589
3480,3903217.395
2700,2886704.955
3150,3778136.556
6615,5091485.359
3040,3015576.122
3630,3239205.5
6000,4137513.339
5400,4819488.737
5200,5276020.707
3300,3834991.483
4350,4232975.969
2640,2863962.985
2650,3588620.135
3960,3552814.62
6800,4440739.614
4000,4100314.473
4000,3379447.652
3934,3354431.484
2000,3153720.504
3630,6382641.89
2800,3113136.522
2430,2972894.369
3480,3182350.573
4000,3567975.934
3185,3070535.884
4000,4100314.473
2910,2966301.852
3600,3227834.514
4400,3531060.789
3600,4971457.838
2880,3143459.149
3180,3257169.002
3000,3532753.348
4400,4251927.611
3000,3721281.63
3210,3800878.527
3240,3091382.691
3000,3000414.808
3500,3189931.23
4840,4230173.78
7700,4781869.173
3635,3241100.664
2475,3522289.387
2787,5040360.7
3264,3100479.479
3640,3242995.828
3180,3068640.72
1836,2559220.578
3970,3179548.384
3970,4088943.488
1950,2790958.605
5300,4060718.631
3000,3000414.808
2400,3493861.924
3000,3909809.912
3360,3136866.632
3420,4257531.988
1700,3228538.933
3649,3246407.124
2990,2996624.48
3000,3000414.808
2400,2961523.384
3620,3235415.171
2910,3154830.134
3850,4043459.547
